game_name;steam_id;required_age;is_free;description;languages;developers;publishers;release_date;price;metacritic_score;genres;categories;release_date_2
Botany Manor;1425350;0;False;Welcome to Botany Manor, a stately home in 19th century England. You play as inhabitant Arabella Greene, a retired botanist. Explore your house and gardens, filled with research, to figure out the ideal habitat of forgotten flora. Grow each plant to discover the mysterious qualities they hold…;English, French, Italian, German, Japanese, Spanish - Latin America, Portuguese - Brazil, Simplified Chinese, Traditional Chinese;Balloon Studios;Whitethorn Games;9 Apr, 2024;£22.49;82.0;Adventure;Single-player, Steam Achievements, Full controller support, Family Sharing;9 Apr, 2024
Scarlet Tower;2181720;0;False;Hunt during the day, be hunted during the NIGHT! Scarlet Tower is a gothic horror casual game with roguelike and RPG elements, like talent trees, classes, familiars and more!;English, French, Italian, German, Simplified Chinese, Korean, Spanish - Latin America, Japanese, Portuguese - Brazil, Russian, Ukrainian;Pyxeralia LLC;Pyxeralia LLC;25 Mar, 2024;£2.99;;Action, Casual, Indie, RPG;Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing;25 Mar, 2024
Vellum;917950;0;False;Dive into the magic tomes of Vellum, a cooperative action roguelike. Discover pages of increasing power, sling ink-infused spells, and choose how your foes evolve - as a group or solo!;English;Alvios Games;Alvios, Inc.;28 Mar, 2024;£16.75;;Action, Adventure, Indie, Early Access;Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing;28 Mar, 2024
Supernatural;2093010;0;False;Detective Wyatt confronts a chilling mystery as he investigates a housemaid's disappearance. Unearth sinister secrets as you navigate through a haunted house, where every shadow hides a lurking terror.;English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Russian, Simplified Chinese, Portuguese - Brazil, Turkish;Hitori De Productions;Hitori De Productions;15 Jul, 2024;£5.61;;Action, Adventure, Indie;Single-player, Steam Achievements, Partial Controller Support, Family Sharing;15 Jul, 2024
Viking Rise: Valhalla;2819520;0;True;Race against other players to explore Valhalla and conquer Midgard!;English, French, Italian, German, Spanish - Spain, Russian, Indonesian, Turkish, Japanese, Thai, Simplified Chinese, Traditional Chinese, Portuguese - Brazil, Portuguese - Portugal, Spanish - Latin America, Vietnamese, Arabic, Korean;IGG SINGAPORE PTE. LTD.;IGG SINGAPORE PTE. LTD.;21 May, 2024;;;Massively Multiplayer, RPG, Strategy, Free To Play;Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, In-App Purchases;21 May, 2024
LONESTAR;2056210;0;False;LONESTAR is a strategic Roguelike spaceship deckbuilder. As a bounty hunter, you will capture criminals scattered across the universe. Win the shockwave battle to gain rewards and vacations. Find treasures, customize spaceships, unlock talents, defeat the felons and be a legend!;English, Simplified Chinese;Math Tide;Thermite Games;18 Jan, 2024;£8.50;;Adventure, Indie, RPG, Strategy, Early Access;Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing;18 Jan, 2024
Yohane the Parhelion - NUMAZU in the MIRAGE -;2459750;0;False;"Yohane the Parhelion is an official spin-off of &quot;Love Live! Sunshine&quot;. 『Yohane the Parhelion - NUMAZU in the MIRAGE -』 is a deckbuilding roguelite set in that world! A mysterious mirror world that changes each time it's entered. After countless choices, Yohane chooses...";English, Simplified Chinese, Traditional Chinese, Japanese;BeXide Inc.;BeXide Inc.;21 Feb, 2024;£24.99;;RPG;Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing;21 Feb, 2024
Revue Starlight El Dorado;2849960;0;False;"The first console game of the stage-themed multi-media franchise &quot;Revue Starlight&quot; is on its way!";English, Simplified Chinese, Traditional Chinese, Japanese;Frontwing;Bushiroad Inc.;7 Aug, 2024;£24.99;;Adventure;Single-player, Family Sharing;7 Aug, 2024
The Brew Barons;1636710;0;False;A tranquil world becomes ever more corrupt by the day, spoiled by a pirate organization that forcefully impose their brewing monopoly over the lands. It's up to you to explore, forage, craft, sell and deliver your brews to overthrow the corrupt pirate organization and restore peace.;English;Lifetap Studios;Lifetap Studios;1 Mar, 2024;£16.99;;Action, Casual, RPG, Simulation;Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing;1 Mar, 2024
Contain;2186700;0;False;"Contain is a Tactical Co-Op FPS game. Form your squad of four players to fight against the anomalies. Try to &quot;Contain&quot; them where the line between ordinary and extraordinary is blurred.";English, Turkish, German, Simplified Chinese, French, Korean, Russian, Czech, Portuguese - Brazil;SinginGiant;SinginGiant;16 Jan, 2024;£11.79;;Action, Indie, Early Access;Single-player, Multi-player, Co-op, Online Co-op, Family Sharing;16 Jan, 2024
Brothers: A Tale of Two Sons Remake;2153350;0;False;Guide two brothers on an epic journey of discovery, loss, adventure and mystery remade for the latest generation of graphics, performance, and gameplay. Play in single-player mode or local co-op with a friend. This is one journey you will never forget.;English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese;Avantgarden SRL;505 Games;28 Feb, 2024;£15.99;79.0;Adventure, Casual;Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play Together, Family Sharing;28 Feb, 2024
Voice Love on Air;2321120;0;False;A BL dating sim with elements of studio management and interactions with voice actors! Follow Aki, a newbie voice director who has to complete the recordings for several BL dramas, and interact with the charming voice actors. Come give voice to the language of love!;English, Japanese, Simplified Chinese, Traditional Chinese;SOFTSTAR ENTERTAINMENT, Noisy Fish;SOFTSTAR ENTERTAINMENT;27 Mar, 2024;£24.99;;Casual, Simulation;Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing;27 Mar, 2024
Great Houses of Calderia;1812910;0;False;"Great Houses of Calderia is a Feudal Grand Strategy game focusing on family dynamics &amp; stories. Use your family strengths to compete against rivals to rise in the ranks of Calderia - produce, trade, scheme, bribe, and battle to build your legacy of power!";English;Resistance Games;Firesquid;2 May, 2024;£20.99;;Indie, RPG, Strategy;Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing;2 May, 2024
King Arthur: Legion IX;2739830;0;False;Dive into a unique blend of turn-based tactics and character-centric RPGs. Lead the skilled Roman tribune Gaius Julius Mento as he navigates through the dark fantasy realm of Avalon.;English, French, German, Spanish - Spain, Hungarian, Polish, Portuguese - Brazil, Russian, Simplified Chinese;NeocoreGames;NeocoreGames;9 May, 2024;£16.75;;RPG, Strategy;Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing;9 May, 2024
SENTRY;1252680;0;False;SENTRY is an action-defense first person shooter where you defend your spaceship against invading aliens. Plot an escape route through hostile space and battle the enemy across your vessel with the support of traps, turrets and environmental destruction.;English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Turkish, Ukrainian, Traditional Chinese;Fireblade Software;Fireblade Software;25 Mar, 2024;£15.29;;Action, Indie, Strategy, Early Access;Single-player, Partial Controller Support, Steam Cloud, Family Sharing;25 Mar, 2024
Nexus 5X;1983990;0;False;eXplore, eXpand, eXploit, eXterminate, EXPRESS. All of the depth, diplomacy, conflict and conquest of a turn-based 4X epic but played in fast-paced 60-minute competitive sessions. Play Solo or Multiplayer for 2-8 players.;English, German, Simplified Chinese;Whatboy Games;Paradox Arc;18 Apr, 2024;£12.99;83.0;Indie, RPG, Simulation, Strategy;Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Family Sharing;18 Apr, 2024
AutoForge;1960480;0;False;A 2D automation sandbox adventure. Build an automated factory with Mana-powered machines, progress through an expansive tech tree, explore a vast and wonderful world, upgrade yourself with ancient technologies, and defend it all from invasions.;English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Ukrainian;Siege Games;Siege Games;27 Mar, 2024;£16.75;;Action, Simulation, Early Access;Single-player, Family Sharing;27 Mar, 2024
Magic Pussy: Chapter 2;2512190;0;False;Immerse in a thrilling adult-only journey packed with sensual magic. Encounter an array of sultry witches, engage in steamy spells, and experience bold, erotic escapades. Each choice leads to intense, passionate adventures in a bewitching realm;English, French, Italian, German, Spanish - Spain, Arabic, Bulgarian, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Indonesian, Japanese, Korean, Norwegian, Polish, Portuguese - Brazil, Portuguese - Portugal, Romanian, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese;Taboo Tales 💘;Taboo Tales 💘;13 Jan, 2024;£4.68;;Adventure, Casual, RPG;Single-player, Steam Achievements, Steam Trading Cards, Family Sharing;13 Jan, 2024
Tennis Manager 2024;2870110;0;False;The courts have missed you, it’s time to sign your comeback and prove yourself as the greatest tennis manager. Tennis Manager 2024 is back and better than ever! Get ready to strategize, train your new wonderkids, and conquer the courts in the most immersive tennis management experience yet!;English, French, Italian, German, Spanish - Spain;Rebound CG;Rebound CG;23 May, 2024;£15.29;;Indie, Simulation, Sports, Strategy;Single-player, Steam Achievements, Steam Workshop, Family Sharing;23 May, 2024
Lifeform Zero;1848270;0;False;The game is a pet breeding game. Players need to do things, use the space provided by the agency to cultivate the alien guard house.;Traditional Chinese, English, Japanese, Simplified Chinese, Korean;Sins of Succubus;Mango Party, Mango Party News;22 Feb, 2024;£6.69;;Indie, RPG, Simulation;Single-player, Family Sharing;22 Feb, 2024
Farm Manager World;2206350;0;False;Dive into the agricultural life with Farm Manager World! Manage your own farm across vibrant global locations, cultivate exotic crops, and build your agribusiness empire. Welcome to sustainable farming at its finest.;English, Polish, French, Italian, German, Spanish - Spain, Simplified Chinese, Japanese, Korean, Portuguese - Brazil, Turkish, Russian;Cleversan Games;Sim Farm S.A., PlayWay S.A.;29 Apr, 2024;£13.40;;Casual, Indie, Simulation, Strategy, Early Access;Single-player, Steam Achievements, Steam Cloud, Family Sharing;29 Apr, 2024
Turbo Golf Racing;1324350;0;False;An action-packed fusion of racing and golf. Traverse across a diverse range of courses, using your car to skilfully putt your ball in the hole. Face off against 7 opponents in Race mode, make every shot count in golf mode, or test your skills against the clock in Time Trials.;English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese;Hugecalf Studios;Hugecalf Studios;4 Apr, 2024;£8.50;;Action, Racing, Sports;Single-player, Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Family Sharing;4 Apr, 2024
Windowkill;2726450;0;False;Windowkill is a twin-stick shooter, but the game window itself is constantly closing in on you. Shoot the window edges to push it around your screen as you fight and dodge enemies and bosses in their own windows.;English, Italian, German, Spanish - Spain, Arabic, Bulgarian, Czech, Dutch, Japanese, Korean, Polish, Portuguese - Brazil, Portuguese - Portugal, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Filipino, Turkish, Ukrainian, Hungarian, Indonesian, Vietnamese, Basque, Belarusian, Hindi, Persian, Slovenian;torcado;torcado;23 Feb, 2024;£4.29;;Action, Indie;Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Remote Play Together, Family Sharing;23 Feb, 2024
